date,Alpine Meadows,Aneroid Lake #2,Annie Springs,Arbuckle Mtn,Beaver Pass,Beaver Reservoir,Big Red Mountain,Bigelow Camp,Billie Creek Divide,Blazed Alder,Blewett Pass,Blue Mountain Spring,Bourne,Bowman Springs,Bumping Ridge,Bunchgrass Mdw,Cascade Summit,Chemult Alternate,Clackamas Lake,Clear Lake,Cold Springs Camp,Corral Pass,Cougar Mountain,Crazyman Flat,Daly Lake,Derr.,Diamond Lake,Dungeness,Eilertson Meadows,Elbow Lake,Fish Creek,Fish Lake,Fish Lk.,Fourmile Lake,Gold Center,Green Lake,Greenpoint,Harts Pass,High Ridge,Holland Meadows,Irish Taylor,Jump Off Joe,June Lake,Lake Creek R.S.,Little Meadows,Lone Pine,Lost Horse,Lucky Strike,Lyman Lake,MF Nooksack,Madison Butte,Mckenzie,Meadows Pass,Morse Lake,Moses Mtn           ,Moss Springs,Mount Crag,Mt Hood Test Site,Mt. Howard,Mud Ridge,New Crescent Lake,North Fork,Ochoco Meadows,Olallie Meadows,Paradise,Park Creek Ridge,Peavine Ridge,Pigtail Peak,Pope Ridge,Potato Hill,Quartz Peak,Rainy Pass,Red Hill,Rex River,Roaring River,Salmon Meadows,Salt Creek Falls,Santiam Jct.,Sasse Ridge,Schneider Meadows,Sentinel Butte,Sevenmile Marsh,Sheep Canyon,Silver Creek,Silvies             ,Skookum Creek,Snow Mountain,Spencer Meadow,Spirit Lake,Spruce Springs,Stampede Pass,Starr Ridge,Stevens Pass        ,Summer Rim,Summit Lake,Surprise Lakes,Swamp Creek,Swift Creek,Taylor Butte,Taylor Green,Three Creeks Meadow,Thunder Basin,Tinkham Creek,Tipton,Touchet,Trough,Upper Wheeler,Waterhole,Wells Creek,White Pass E.S.,Wolf Creek
11/1/98,0%,0%,,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,21%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,18%,0%,0%,156%,0%,0%,0%,0%,0%,0%,0%,3%,,0%,0%,0%,0%,0%,0%,0%,37%,0%,167%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,88%,0%,0%,0%,0%,0%,0%,0%,,75%,20%,0%,25%,0%,0%,0%,0%,,0%,0%,0%,40%,31%,0%,,,200%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%
11/1/99,0%,167%,,0%,,0%,0%,0%,0%,0%,67%,0%,0%,0%,25%,43%,200%,0%,0%,0%,0%,183%,0%,,0%,0%,0%,0%,0%,0%,0%,217%,100%,50%,0%,175%,150%,100%,0%,125%,167%,0%,0%,0%,0%,0%,475%,0%,87%,,0%,191%,0%,179%,50%,0%,100%,63%,200%,0%,0%,0%,0%,18%,50%,100%,0%,182%,120%,0%,0%,93%,63%,0%,180%,200%,0%,0%,38%,20%,,125%,0%,0%,0%,0%,0%,0%,0%,,100%,0%,125%,80%,100%,127%,120%,,500%,0%,125%,140%,0%,100%,157%,67%,0%,40%,100%,0%,0%
11/1/00,0%,142%,117%,100%,,0%,225%,900%,0%,0%,0%,0%,0%,0%,0%,79%,157%,0%,0%,0%,50%,50%,0%,,0%,300%,0%,0%,400%,0%,114%,0%,100%,33%,0%,38%,0%,86%,0%,50%,33%,0%,100%,0%,0%,0%,0%,0%,158%,,0%,0%,0%,29%,50%,17%,75%,53%,80%,0%,0%,0%,0%,9%,28%,0%,0%,35%,0%,40%,0%,7%,0%,0%,160%,0%,0%,0%,0%,20%,,150%,60%,0%,175%,0%,0%,0%,0%,0%,0%,0%,0%,140%,62%,45%,0%,,300%,200%,25%,100%,0%,0%,143%,0%,100%,100%,0%,0%,0%
11/1/01,150%,25%,0%,0%,520%,0%,0%,0%,0%,0%,167%,33%,50%,0%,275%,250%,0%,0%,0%,0%,0%,208%,50%,0%,0%,0%,0%,0%,0%,400%,0%,167%,0%,0%,0%,138%,0%,305%,0%,100%,0%,0%,0%,0%,0%,0%,275%,0%,277%,,0%,0%,0%,186%,100%,0%,200%,68%,10%,0%,0%,0%,0%,236%,200%,271%,0%,218%,200%,120%,0%,307%,0%,200%,0%,67%,0%,0%,338%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,400%,0%,300%,0%,0%,82%,420%,,0%,100%,0%,410%,0%,0%,0%,133%,50%,300%,560%,100%,0%
11/1/02,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,36%,0%,0%,0%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,18%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,200%,0%,0%,83%,0%,0%,130%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,200%,0%,0%,0%,0%,0%,0%,0%,43%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%
11/1/03,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,125%,0%,0%,0%,200%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,25%,0%,27%,0%,0%,44%,0%,0%,0%,0%,0%,200%,0%,3%,0%,0%,155%,0%,0%,0%,0%,0%,5%,0%,0%,0%,300%,0%,73%,0%,0%,0%,18%,40%,40%,0%,0%,113%,0%,0%,0%,0%,0%,188%,0%,33%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,108%,173%,0%,0%,0%,0%,0%,0%,0%,0%,0%,133%,0%,0%,0%,0%,0%
11/1/04,267%,142%,667%,100%,140%,200%,175%,500%,0%,83%,100%,0%,250%,0%,125%,121%,314%,400%,400%,200%,0%,117%,100%,650%,0%,800%,0%,500%,600%,0%,100%,333%,0%,167%,0%,225%,100%,68%,350%,175%,100%,200%,33%,0%,33%,100%,275%,0%,84%,300%,0%,82%,300%,93%,0%,267%,325%,195%,60%,0%,0%,0%,100%,91%,211%,57%,0%,200%,40%,280%,167%,100%,213%,600%,200%,0%,67%,200%,88%,0%,133%,250%,160%,0%,450%,950%,450%,100%,200%,100%,100%,0%,238%,620%,185%,82%,140%,29%,1200%,300%,225%,430%,100%,0%,143%,0%,0%,260%,360%,67%,233%
11/1/05,0%,67%,67%,233%,60%,100%,75%,200%,0%,0%,133%,33%,100%,100%,300%,107%,14%,100%,100%,200%,0%,117%,0%,0%,33%,0%,0%,0%,100%,50%,0%,83%,0%,0%,200%,163%,150%,73%,0%,0%,0%,0%,0%,0%,0%,0%,125%,300%,58%,267%,0%,18%,100%,221%,100%,17%,0%,11%,30%,100%,0%,0%,0%,36%,72%,79%,100%,106%,220%,20%,67%,43%,0%,100%,60%,167%,0%,0%,50%,140%,33%,0%,0%,0%,0%,200%,400%,0%,0%,0%,0%,0%,100%,0%,62%,436%,40%,129%,0%,50%,0%,120%,100%,0%,29%,300%,50%,220%,20%,0%,0%
11/1/06,133%,83%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,0%,0%,400%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,67%,0%,0%,0%,0%,0%,0%,0%,42%,111%,0%,0%,0%,0%,0%,0%,0%,74%,120%,0%,0%,0%,0%,109%,33%,0%,0%,41%,0%,0%,100%,0%,0%,600%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,550%,0%,0%,0%,0%,0%,0%,123%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,120%,0%,200%,0%
11/1/07,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,64%,0%,0%,0%,0%,0%,117%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,78%,0%,0%,0%,0%,0%,0%,0%,152%,0%,0%,182%,0%,136%,0%,67%,100%,126%,0%,0%,0%,0%,0%,0%,106%,0%,0%,147%,0%,200%,0%,0%,150%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,80%,192%,173%,0%,543%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
11/1/08,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,300%,0%,0%,0%,0%,0%,0%,0%,0%,0%,23%,0%,25%,0%,0%,0%,0%,0%,0%,75%,0%,19%,22%,0%,0%,0%,0%,0%,33%,0%,5%,0%,0%,0%,0%,0%,9%,17%,0%,0%,18%,0%,0%,0%,36%,13%,0%,0%,0%,300%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,150%,0%,0%,0%,0%,0%,0%,0%,0%,0%,300%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%
11/1/09,50%,258%,0%,0%,0%,100%,0%,0%,0%,0%,0%,133%,100%,0%,25%,171%,100%,0%,0%,0%,0%,50%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,33%,0%,0%,100%,82%,100%,0%,133%,0%,0%,0%,33%,33%,50%,0%,132%,22%,0%,9%,0%,14%,0%,250%,0%,89%,200%,0%,0%,0%,0%,45%,50%,29%,0%,18%,0%,100%,0%,29%,88%,0%,0%,33%,67%,0%,38%,0%,267%,125%,40%,0%,100%,0%,0%,150%,50%,100%,29%,0%,13%,0%,46%,27%,40%,57%,0%,0%,0%,10%,200%,0%,14%,100%,0%,0%,0%,0%,0%
11/1/10,283%,142%,700%,100%,0%,0%,325%,300%,500%,0%,0%,100%,100%,0%,600%,157%,500%,200%,100%,0%,1050%,250%,0%,0%,367%,0%,0%,0%,0%,0%,371%,0%,0%,333%,0%,175%,100%,82%,200%,300%,389%,50%,200%,0%,767%,600%,50%,100%,74%,244%,100%,309%,0%,279%,500%,167%,50%,337%,110%,233%,400%,100%,0%,155%,400%,14%,0%,265%,0%,280%,433%,7%,438%,0%,300%,0%,533%,550%,13%,60%,0%,600%,480%,0%,0%,200%,0%,250%,0%,200%,29%,0%,0%,240%,231%,327%,0%,586%,0%,0%,600%,0%,0%,0%,300%,367%,0%,660%,80%,300%,67%
11/1/11,33%,0%,0%,0%,120%,0%,0%,300%,0%,0%,0%,0%,0%,0%,25%,21%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,27%,0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,84%,122%,0%,0%,0%,14%,0%,17%,0%,21%,100%,0%,0%,0%,0%,18%,11%,36%,0%,41%,0%,0%,133%,57%,0%,0%,0%,0%,0%,0%,0%,0%,67%,0%,20%,0%,0%,0%,0%,150%,0%,0%,0%,0%,0%,0%,0%,0%,0%,43%,0%,0%,0%,20%,0%,0%,0%,0%,0%,80%,40%,67%,33%
11/1/12,0%,0%,133%,0%,160%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,79%,0%,0%,0%,0%,0%,92%,0%,0%,0%,0%,0%,0%,0%,0%,157%,0%,0%,0%,0%,0%,0%,132%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,103%,0%,0%,0%,0%,21%,250%,100%,0%,0%,20%,0%,0%,0%,0%,0%,0%,29%,0%,0%,20%,0%,0%,43%,0%,0%,0%,133%,0%,0%,0%,280%,167%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,43%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%
11/1/13,0%,317%,0%,0%,0%,100%,125%,0%,0%,0%,0%,67%,0%,0%,0%,29%,29%,0%,0%,0%,0%,0%,0%,50%,0%,100%,0%,0%,200%,0%,14%,0%,0%,0%,0%,25%,0%,55%,75%,0%,22%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,27%,0%,21%,50%,17%,50%,11%,410%,0%,0%,0%,200%,0%,44%,0%,0%,165%,0%,60%,67%,0%,0%,0%,80%,0%,0%,0%,0%,0%,167%,0%,0%,0%,125%,0%,0%,0%,0%,0%,0%,0%,0%,260%,15%,0%,20%,0%,0%,0%,175%,0%,0%,0%,0%,467%,0%,0%,0%,0%,0%
