RAILROAD,INCDTNO,HAZMAT,RRCLASS,SHORT_CAUSE,TYPE,ACCDMG
CSX,000158914,,1,M,1,22464.0
UP,0316RS042,,1,M,9,18012.0
BNSF,SF0216118,,1,H,1,8896.0
CSX,000156714,,1,H,12,12174.0
BNSF,GC0316104,Yes,1,H,1,10800.0
CSX,000156656,Yes,1,T,1,356382.0
BNSF,SF0216108,,1,M,1,24000.0
BNSF,SF0316118,,1,H,1,14000.0
UP,0316WH008,,1,T,1,18360.0
UP,0316LV015,,1,H,5,15218.0
CSX,000155846,,1,T,1,13152.0
CSX,000156883,,1,H,1,30928.0
UP,0416DV010,,1,H,1,12419.0
UP,0116NP010,Yes,1,S,1,224922.0
BNSF,NE0216104,,1,H,13,38000.0
UP,0316NP014,,1,H,1,19606.0
BNSF,MT0116100,,1,H,1,71000.0
UP,0316LV015,,1,H,5,15218.0
CSX,000155821,,1,H,4,230590.0
CSX,000159338,,1,H,12,80855.0
UP,0116TC008,,1,M,1,51238.0
UP,0116TC009,,1,T,1,106244.0
CSX,000155821,Yes,1,H,4,230590.0
UP,0116PD017,,1,E,1,16654.0
NS,119605,,1,M,9,16560.0
CSX,000159338,,1,H,12,80855.0
BNSF,TC0216112,,1,H,12,24589.0
CP,1000338729,Yes,1,T,1,997953.0
UP,0116LK001,,1,H,1,78303.0
UP,0316NP025,,1,E,13,12000.0
UP,0116LV004,,1,M,7,65500.0
UP,0116LV006,,1,E,12,12113.0
KCS,16010202,,1,T,1,78303.0
BNSF,GC0116101,,1,T,1,54000.0
UP,0316LK015,,1,M,13,29712.0
BNSF,SF0216110,,1,E,13,27550.0
BNSF,KS0316201,,1,M,7,20300.0
UP,0216LK017,Yes,1,H,1,16815.0
CSX,000156805,,1,T,1,176770.0
BNSF,NE0116109,,1,M,1,45500.0
BNSF,NW0416109,Yes,1,H,1,17027.0
NS,119791,,1,T,1,20750.0
CSX,000157513,,1,H,12,35009.0
BNSF,SF0116112,,1,E,1,21500.0
BNSF,PR0116100,,1,H,1,200359.0
UP,0116NP001,,1,H,1,200359.0
BNSF,TC0216113,,1,H,1,134206.0
BNSF,NE0116112,,1,T,1,15320.0
UP,0316DV005,,1,H,2,1654711.0
UP,0316DV005,Yes,1,H,2,1654711.0
CSX,000157256,,1,H,4,13491.0
CSX,000157256,,1,H,4,13491.0
NS,120185,,1,H,1,13275.0
CSX,000157734,,1,M,9,15388.0
NS,119747,,1,T,1,33250.0
NS,119747,,1,T,1,33250.0
BNSF,CH0216110,,1,T,1,50250.0
CSX,000157431,,1,M,7,17207.0
NS,118842,,1,T,1,11839.0
BNSF,TC0216102,,1,T,1,10800.0
NS,119835,,1,H,3,52287.0
UP,0116FW005,,1,H,1,82556.0
BNSF,NW0416120,,1,H,1,41228.0
BNSF,NW0416101,,1,H,13,15000.0
CSX,000159414,,1,H,4,81672.0
CSX,000157513,,1,H,12,35009.0
NS,120277,,1,H,1,57150.0
NS,120277,,1,H,1,57150.0
UP,0316FW012,,1,E,11,62610.0
CSX,000158501,,1,M,1,15100.0
CSX,000157219,,1,T,1,36032.0
UP,0316HO031,,1,M,1,123170.0
BNSF,GC0116106,,1,H,1,49473.0
BNSF,NW0416106,Yes,1,H,12,11679.0
BNSF,NW0416106,,1,H,12,11679.0
UP,0216HO029,,1,H,5,15132.0
UP,0316LK010,,1,T,1,18250.0
UP,0216DV015,,1,H,1,37077.0
UP,0216HO029,,1,H,5,15132.0
BNSF,GC0216116,,1,H,13,190000.0
BNSF,GC0216116,,1,H,13,190000.0
BNSF,NW0416108,,1,T,1,11712.0
BNSF,TX0316105,,1,T,1,112832.0
UP,0116FW003,Yes,1,T,1,47888.0
BNSF,NW0316104,,1,H,1,18262.0
CSX,000156056,,1,M,7,16744.0
BNSF,CH0216200,,1,M,7,13500.0
UP,0316PR006,Yes,1,T,1,94947.0
CP,1000326994,,1,M,7,16600.0
CSX,000158018,,1,H,12,94864.0
CSX,000158018,Yes,1,H,12,94864.0
NS,119870,,1,M,1,22600.0
CSX,000158921,Yes,1,T,1,64190.0
BNSF,PR0416104,,1,H,1,110340.0
BNSF,NE0416200,,1,M,7,437916.0
UP,0216NP010,,1,E,11,109151.0
BNSF,TC0316106,,1,M,13,15000.0
UP,0316SL011,,1,H,1,24230.0
UP,0416SL001,,1,E,11,31844.0
UP,0416KC001,,1,H,1,71008.0
UP,0416KC001,,1,H,1,71008.0
CSX,000156714,,1,H,12,12174.0
CSX,000155992,,1,H,1,20363.0
NS,119056,,1,H,1,15294.0
NS,118765,,1,H,1,38850.0
NS,119316,,1,H,4,12030.0
NS,119316,,1,H,4,12030.0
CSX,000156500,,1,M,1,1230840.0
CSX,000157413,,1,H,12,25046.0
CSX,000157413,,1,H,12,25046.0
BNSF,GC0416100,,1,H,1,16573.0
BNSF,GC0416110,,1,H,1,6035.0
BNSF,GC0416113,,1,T,1,1637606.0
BNSF,KS0416101,Yes,1,H,1,122313.0
BNSF,KS0416101,,1,H,1,122313.0
BNSF,GC0416105,,1,M,1,278999.0
UP,0416HO008,,1,E,1,534737.0
UP,0316HO030,,1,M,1,30305.0
UP,0416HO004,,1,S,1,13580.0
UP,0416HO005,,1,T,1,12062.0
UP,0416HO048,,1,M,1,723259.0
KCS,16040602,,1,H,1,16573.0
UP,0416LK001,,1,E,13,39268.0
UP,0416HO010,,1,T,1,11858.0
UP,0216FW009,,1,E,11,119545.0
KCS,16040105,,1,T,1,16242.0
UP,0416HO014,,1,T,1,16127.0
UP,0416HO015,,1,E,13,29367.0
UP,0416HO024,Yes,1,M,1,18507.0
UP,0216ST007,Yes,1,H,4,67759.0
UP,0216SA020,,1,H,1,36979.0
UP,0216ST007,Yes,1,H,4,67759.0
UP,0116FW021,,1,T,1,19765.0
UP,0116HO007,,1,T,1,602657.0
UP,0116HO031,,1,T,1,18008.0
UP,0116HO032,,1,M,7,100573.0
UP,0116SA002,,1,T,1,73949.0
UP,0116FW002,,1,T,1,37194.0
UP,0116SA012,,1,M,1,191363.0
UP,0116SA006,,1,H,13,25001.0
UP,0316PC006,,1,E,1,202263.0
UP,0116UT004,,1,E,11,100872.0
UP,0216UT005,,1,T,1,106382.0
UP,0216UT012,,1,E,11,29031.0
UP,0216UT017,,1,H,1,59959.0
UP,0316UT001,,1,H,12,32899.0
UP,0316UT001,,1,H,12,32899.0
BNSF,NW0216107,,1,H,5,142000.0
BNSF,NW0216107,,1,H,5,142000.0
BNSF,NW0216109,,1,M,1,21375.0
BNSF,NW0216116,,1,T,1,19248.0
BNSF,NW0216122,,1,H,13,15000.0
UP,0116PD001,,1,T,1,105820.0
BNSF,NW0116100,,1,T,1,105820.0
BNSF,NW0116115,,1,T,1,79693.0
UP,0416PR002,,1,M,1,49854.0
UP,0316TC013,,1,E,11,18000.0
UP,0416TC005,Yes,1,T,1,313827.0
BNSF,PR0216106,,1,T,1,64250.0
BNSF,TX0216200,,1,M,7,11000.0
KCS,16032601,,1,H,1,122181.0
BNSF,GC0316110,Yes,1,M,1,34630.0
BNSF,KS0316109,,1,H,1,29736.0
UP,0216LK016,,1,E,1,338850.0
BNSF,GC0316115,,1,T,1,59408.0
BNSF,GC0316116,,1,E,1,16000.0
UP,0316FW023,,1,T,1,10898.0
UP,0316FW007,,1,M,7,14669.0
UP,0316HO010,,1,M,7,19191.0
UP,0316HO018,,1,M,7,27450.0
UP,0316HO020,Yes,1,T,1,55392.0
UP,0316HO020,,1,T,1,55392.0
BNSF,GC0116103,,1,E,1,73949.0
UP,0216FW002,,1,E,11,52391.0
UP,0216HO043,,1,E,11,21723.0
UP,0416SA002,,1,H,4,14608.0
UP,0416SA002,,1,H,4,14608.0
UP,0416SA016,,1,T,1,15064.0
UP,0116SA004,,1,M,7,12102.0
UP,0216SA022,,1,H,1,88581.0
UP,0216FW013,,1,T,1,13307.0
UP,0116FW023,,1,M,7,15764.0
UP,0216FW008,,1,E,11,122532.0
UP,0316SA004,,1,H,1,142321.0
